year,month,month_label,total_hours,mean_temp_c,max_temp_c,hours_above_35c,pct_above_35c,hours_above_38c,pct_above_38c,hours_above_40c,pct_above_40c,hours_above_42c,pct_above_42c,hours_above_44c,pct_above_44c
2023,7,Jul,310,29.5,41.8,14,4.5,8,2.6,4,1.3,0,0.0,0,0.0
2023,8,Aoû,310,29.62,38.8,14,4.5,1,0.3,0,0.0,0,0.0,0,0.0
2023,9,Sep,300,32.57,42.1,70,23.3,30,10.0,8,2.7,1,0.3,0,0.0
2023,10,Oct,310,31.57,41.4,52,16.8,29,9.4,12,3.9,0,0.0,0,0.0
2023,11,Nov,300,30.25,40.9,73,24.3,16,5.3,5,1.7,0,0.0,0,0.0
2023,12,Déc,310,25.4,35.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0
2024,1,Jan,310,25.65,35.4,2,0.6,0,0.0,0,0.0,0,0.0,0,0.0
2024,2,Fév,290,27.88,38.9,21,7.2,3,1.0,0,0.0,0,0.0,0,0.0
2024,3,Mar,310,27.03,40.2,25,8.1,9,2.9,2,0.6,0,0.0,0,0.0
2024,4,Avr,300,29.13,43.2,52,17.3,28,9.3,10,3.3,4,1.3,0,0.0
2024,5,Mai,310,29.25,40.6,45,14.5,13,4.2,2,0.6,0,0.0,0,0.0
2024,6,Jui,300,30.17,43.2,66,22.0,31,10.3,13,4.3,4,1.3,0,0.0
2024,7,Jul,310,27.52,38.2,7,2.3,1,0.3,0,0.0,0,0.0,0,0.0
2024,8,Aoû,310,28.95,42.1,8,2.6,5,1.6,4,1.3,1,0.3,0,0.0
2024,9,Sep,300,29.74,41.5,22,7.3,9,3.0,5,1.7,0,0.0,0,0.0
2024,10,Oct,310,32.63,41.5,108,34.8,47,15.2,12,3.9,0,0.0,0,0.0
2024,11,Nov,300,29.94,39.2,62,20.7,8,2.7,0,0.0,0,0.0,0,0.0
2024,12,Déc,310,25.39,37.9,9,2.9,0,0.0,0,0.0,0,0.0,0,0.0
2025,1,Jan,310,23.54,34.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2025,2,Fév,280,25.06,33.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2025,3,Mar,310,25.24,38.2,11,3.5,4,1.3,0,0.0,0,0.0,0,0.0
2025,4,Avr,300,28.79,43.5,43,14.3,12,4.0,4,1.3,1,0.3,0,0.0
2025,5,Mai,310,30.24,44.2,56,18.1,23,7.4,11,3.5,7,2.3,1,0.3
2025,6,Jui,300,29.1,43.9,45,15.0,17,5.7,12,4.0,7,2.3,0,0.0
2025,7,Jul,310,27.3,35.8,2,0.6,0,0.0,0,0.0,0,0.0,0,0.0
2025,8,Aoû,310,29.55,39.5,10,3.2,2,0.6,0,0.0,0,0.0,0,0.0
2025,9,Sep,300,31.77,42.8,44,14.7,17,5.7,12,4.0,4,1.3,0,0.0
2025,10,Oct,310,33.01,41.7,105,33.9,56,18.1,21,6.8,0,0.0,0,0.0
2025,11,Nov,300,29.53,40.3,56,18.7,26,8.7,2,0.7,0,0.0,0,0.0
2025,12,Déc,310,22.57,32.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
