osm_id,name,building,shop,amenity,centroid_lat,centroid_lon,area_m2
1038783949,,commercial,,,18.092104,-15.977363,1185.7
1039193625,,yes,bicycle,,18.075337,-15.998462,1060.6
1039193628,,yes,storage_rental,,18.07511,-15.998191,367.8
1039193630,,yes,clothes,,18.075321,-15.99792,818.6
1039193632,,yes,clothes,,18.075045,-15.997717,422.5
1039193649,,yes,beverages,,18.073988,-15.99759,506.9
1040597465,,retail,,,18.098104,-15.976339,3342.3
1040597467,,retail,,,18.097451,-15.9765,3621.0
1041272469,,retail,,,18.103125,-15.97863,884.0
1041273140,,retail,,,18.102886,-15.977019,440.8
1041273141,,retail,,,18.102894,-15.977198,287.9
1041273143,,retail,,,18.10288,-15.977381,218.3
1041729141,,yes,tyres,,18.111674,-15.971748,2660.1
1046479662,,retail,,,18.10325,-15.97718,248.7
1053182726,,retail,,,18.098065,-15.981049,609.3
1056994268,,retail,,,18.108803,-15.980693,428.3
1057385218,,yes,butcher,,18.089228,-15.938656,87.8
1057385637,,yes,convenience,,18.089864,-15.938595,169.2
1057385876,,yes,tyres,,18.089685,-15.938588,25.2
1061724908,,retail,,,18.103984,-15.932553,44.1
1061724918,,commercial,,,18.103016,-15.978863,181.3
1061727309,,retail,,,18.104442,-15.98156,154.1
1061727311,,retail,,,18.104254,-15.98157,466.5
1062679012,,retail,,,18.10838,-15.980889,34.8
1063480212,,yes,supermarket,,18.068276,-15.987777,167.3
1066834850,,commercial,,,18.086607,-15.941053,79.8
1091347576,,commercial,,,18.06248,-16.004746,282.9
1091620348,Al-Rashad Général Trading Est مؤسسة الرشاد لتجارة العامة,yes,mall,,18.082287,-15.978758,1192.9
1109842677,,yes,storage_rental,,18.133634,-15.960122,232.1
1119947508,,yes,butcher,,18.089502,-15.938419,285.6
1156093774,,retail,,,18.099977,-15.980824,1558.6
1156097747,,retail,,,18.098005,-15.983239,5232.0
1156097748,,retail,,,18.097676,-15.983406,496.1
1159432199,,retail,,,18.098674,-15.982498,404.3
1159432200,,retail,,,18.098747,-15.982424,98.5
1159432620,,retail,,,18.1014,-15.979761,157.4
1282993683,,commercial,,,18.130843,-15.923145,1636.3
